,index,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Month
0,48807,,Afghanistan,33.93911,67.709953,2020-07-27,36263,1269,25198,9796,Eastern Mediterranean,7
1,48808,,Albania,41.1533,20.1683,2020-07-27,4880,144,2745,1991,Europe,7
2,48809,,Algeria,28.0339,1.6596,2020-07-27,27973,1163,18837,7973,Africa,7
3,48810,,Andorra,42.5063,1.5218,2020-07-27,907,52,803,52,Europe,7
4,48811,,Angola,-11.2027,17.8739,2020-07-27,950,41,242,667,Africa,7
5,48812,,Antigua and Barbuda,17.0608,-61.7964,2020-07-27,86,3,65,18,Americas,7
6,48813,,Argentina,-38.4161,-63.6167,2020-07-27,167416,3059,72575,91782,Americas,7
7,48814,,Armenia,40.0691,45.0382,2020-07-27,37390,711,26665,10014,Europe,7
8,48815,Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-27,113,3,109,1,Western Pacific,7
9,48816,New South Wales,Australia,-33.8688,151.2093,2020-07-27,3699,49,2989,661,Western Pacific,7
10,48817,Northern Territory,Australia,-12.4634,130.8456,2020-07-27,31,0,30,1,Western Pacific,7
11,48818,Queensland,Australia,-27.4698,153.0251,2020-07-27,1076,6,1063,7,Western Pacific,7
12,48819,South Australia,Australia,-34.9285,138.6007,2020-07-27,447,4,441,2,Western Pacific,7
13,48820,Tasmania,Australia,-42.8821,147.3272,2020-07-27,229,13,215,1,Western Pacific,7
14,48821,Victoria,Australia,-37.8136,144.9631,2020-07-27,9049,83,3817,5149,Western Pacific,7
15,48822,Western Australia,Australia,-31.9505,115.8605,2020-07-27,659,9,647,3,Western Pacific,7
16,48823,,Austria,47.5162,14.5501,2020-07-27,20558,713,18246,1599,Europe,7
17,48824,,Azerbaijan,40.1431,47.5769,2020-07-27,30446,423,23242,6781,Europe,7
18,48825,,Bahamas,25.025885,-78.035889,2020-07-27,382,11,91,280,Americas,7
19,48826,,Bahrain,26.0275,50.55,2020-07-27,39482,141,36110,3231,Eastern Mediterranean,7
20,48827,,Bangladesh,23.685,90.3563,2020-07-27,226225,2965,125683,97577,South-East Asia,7
21,48828,,Barbados,13.1939,-59.5432,2020-07-27,110,7,94,9,Americas,7
22,48829,,Belarus,53.7098,27.9534,2020-07-27,67251,538,60492,6221,Europe,7
23,48830,,Belgium,50.8333,4.469936,2020-07-27,66428,9822,17452,39154,Europe,7
24,48831,,Benin,9.3077,2.3158,2020-07-27,1770,35,1036,699,Africa,7
25,48832,,Bhutan,27.5142,90.4336,2020-07-27,99,0,86,13,South-East Asia,7
26,48833,,Bolivia,-16.2902,-63.5887,2020-07-27,71181,2647,21478,47056,Americas,7
27,48834,,Bosnia and Herzegovina,43.9159,17.6791,2020-07-27,10498,294,4930,5274,Europe,7
28,48835,,Brazil,-14.235,-51.9253,2020-07-27,2442375,87618,1846641,508116,Americas,7
29,48836,,Brunei,4.5353,114.7277,2020-07-27,141,3,138,0,Western Pacific,7
30,48837,,Bulgaria,42.7339,25.4858,2020-07-27,10621,347,5585,4689,Europe,7
31,48838,,Burkina Faso,12.2383,-1.5616,2020-07-27,1100,53,926,121,Africa,7
32,48839,,Cabo Verde,16.5388,-23.0418,2020-07-27,2328,22,1550,756,Africa,7
33,48840,,Cambodia,11.55,104.9167,2020-07-27,226,0,147,79,Western Pacific,7
34,48841,,Cameroon,3.848,11.5021,2020-07-27,17110,391,14539,2180,Africa,7
35,48842,Alberta,Canada,53.9333,-116.5765,2020-07-27,10390,186,0,10204,Americas,7
36,48843,British Columbia,Canada,53.7267,-127.6476,2020-07-27,3500,193,0,3307,Americas,7
37,48844,Manitoba,Canada,53.7609,-98.8139,2020-07-27,400,7,0,393,Americas,7
38,48845,New Brunswick,Canada,46.5653,-66.4619,2020-07-27,170,2,0,168,Americas,7
39,48846,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-07-27,266,3,0,263,Americas,7
40,48847,Nova Scotia,Canada,44.682,-63.7443,2020-07-27,1067,63,0,1004,Americas,7
41,48848,Ontario,Canada,51.2538,-85.3232,2020-07-27,40673,2807,0,37866,Americas,7
42,48849,Prince Edward Island,Canada,46.5107,-63.4168,2020-07-27,36,0,0,36,Americas,7
43,48850,Quebec,Canada,52.9399,-73.5491,2020-07-27,58728,5667,0,53061,Americas,7
44,48851,Saskatchewan,Canada,52.9399,-106.4509,2020-07-27,1209,16,0,1193,Americas,7
45,48852,,Central African Republic,6.6111,20.9394,2020-07-27,4599,59,1546,2994,Africa,7
46,48853,,Chad,15.4542,18.7322,2020-07-27,922,75,810,37,Africa,7
47,48854,,Chile,-35.6751,-71.543,2020-07-27,347923,9187,319954,18782,Americas,7
48,48855,Anhui,China,31.8257,117.2264,2020-07-27,991,6,985,0,Western Pacific,7
49,48856,Beijing,China,40.1824,116.4142,2020-07-27,931,9,895,27,Western Pacific,7
50,48857,Chongqing,China,30.0572,107.874,2020-07-27,583,6,576,1,Western Pacific,7
51,48858,Fujian,China,26.0789,117.9874,2020-07-27,366,1,361,4,Western Pacific,7
52,48859,Gansu,China,35.7518,104.2861,2020-07-27,167,2,165,0,Western Pacific,7
